Prey Type,Calories
Crayfish,0.003077666
Crayfish,0.005164383
Crayfish,0.005452573
Crayfish,0.006407641
Crayfish,0.008448049
Crayfish,0.010420053
Crayfish,0.011812467
Crayfish,0.013335101
Crayfish,0.013567629
Crayfish,0.019386815
Crayfish,0.020366012
Crayfish,0.02309793
Crayfish,0.041034838
Crayfish,0.045815363
Crayfish,0.05323689
Crayfish,0.053927345
Crayfish,0.05623815
Crayfish,0.057682503
Crayfish,0.063702844
Crayfish,0.068080403
Crayfish,0.06922324
Crayfish,0.070707706
Crayfish,0.079066223
Crayfish,0.080313379
Crayfish,0.082669886
Crayfish,0.083177949
Crayfish,0.088387395
Crayfish,0.091137317
Crayfish,0.099228852
Crayfish,0.10397144
Crayfish,0.105126322
Crayfish,0.105879542
Crayfish,0.108249242
Crayfish,0.109748919
Crayfish,0.118001481
Crayfish,0.12237174
Crayfish,0.134838579
Crayfish,0.137426882
Crayfish,0.141181079
Crayfish,0.145488482
Crayfish,0.14597261
Crayfish,0.156398029
Crayfish,0.156906916
Crayfish,0.159567649
Crayfish,0.172769139
Crayfish,0.173255677
Crayfish,0.177756824
Crayfish,0.180597731
Crayfish,0.180597731
Crayfish,0.206936525
Crayfish,0.211910692
Crayfish,0.221458609
Crayfish,0.22152172
Crayfish,0.227327605
Crayfish,0.231944711
Crayfish,0.244192312
Crayfish,0.246805559
Crayfish,0.247665833
Crayfish,0.259669067
Crayfish,0.260672135
Crayfish,0.264725332
Crayfish,0.266366146
Crayfish,0.27219549
Crayfish,0.284298421
Crayfish,0.292048423
Crayfish,0.293615727
Crayfish,0.299574022
Crayfish,0.299574022
Crayfish,0.302345253
Crayfish,0.315224329
Crayfish,0.31775883
Crayfish,0.31775883
Crayfish,0.324810825
Crayfish,0.334712511
Crayfish,0.336442362
Crayfish,0.341545486
Crayfish,0.344962353
Crayfish,0.365734481
Crayfish,0.367564833
Crayfish,0.375280392
Crayfish,0.386594712
Crayfish,0.412302425
Crayfish,0.415406292
Crayfish,0.416037209
Crayfish,0.416037209
Crayfish,0.437119118
Crayfish,0.440687738
Crayfish,0.446400332
Crayfish,0.475714572
Crayfish,0.480657759
Crayfish,0.480657759
Crayfish,0.497156356
Crayfish,0.503101646
Crayfish,0.52598671
Crayfish,0.536403173
Crayfish,0.547658916
Crayfish,0.547658916
Crayfish,0.569464028
Crayfish,0.603641268
Crayfish,0.621812067
Crayfish,0.642446588
Crayfish,0.646808386
Crayfish,0.653038874
Crayfish,0.672208358
Crayfish,0.698005911
Crayfish,0.783168202
Crayfish,0.785556452
Crayfish,0.792816324
Crayfish,0.801922763
Crayfish,0.805052761
Crayfish,0.84166949
Crayfish,0.889224792
Crayfish,0.897482029
Crayfish,0.904329967
Crayfish,0.910460901
Crayfish,0.917992382
Crayfish,0.990644205
Crayfish,1.006349669
Crayfish,1.077705452
Crayfish,1.112353329
Crayfish,1.12875769
Crayfish,1.223836313
Crayfish,1.263315352
Crayfish,1.287146267
Crayfish,1.401487436
Crayfish,1.49005905
Crayfish,1.736775074
Crayfish,1.736775074
Crayfish,1.736775074
Crayfish,1.809423296
Crayfish,1.957407254
Crayfish,2.070639199
Crayfish,2.132184507
Crayfish,2.302497424
Crayfish,2.341804341
Crayfish,2.581370535
Crayfish,2.826911501
Crayfish,2.993662696
Crayfish,3.333859352
Crayfish,3.333859352
Crayfish,3.507042817
Crayfish,3.903464928
Crayfish,4.490574196
Crayfish,5.232584193
Crayfish,5.610222582
Crayfish,6.135481463
Crayfish,7.153874335
Odonata,0.002699803
Odonata,0.007160357
Odonata,0.007255086
